,id,date,action,adminid
0,1,"May 03, 2022 21:51",Dashboard,123
1,2,"May 03, 2022 21:51",Login,123
2,3,"May 03, 2022 21:51",Logs - System,123
3,4,"May 03, 2022 21:52",Dashboard,123
4,5,"May 03, 2022 21:52",Records,123
5,6,"May 03, 2022 21:52",Logs - System,123
6,7,"May 03, 2022 21:52",Dashboard,123
7,8,"May 03, 2022 21:52",Register Face,123
8,9,"May 03, 2022 21:52",Logs - System,123
9,10,"May 03, 2022 21:52",Dashboard,123
10,11,"May 03, 2022 21:52",Records,123
11,12,"May 03, 2022 21:55",Dashboard,123
12,13,"May 03, 2022 21:55",Login,123
13,14,"May 03, 2022 21:55",Records,123
14,15,"May 03, 2022 22:01",Dashboard,123
15,16,"May 03, 2022 22:01",Login,123
16,17,"May 03, 2022 22:01",Records,123
17,18,"May 03, 2022 22:01",Dashboard,123
18,19,"May 03, 2022 22:01",Login,123
19,20,"May 03, 2022 22:01",Records,123
20,21,"May 03, 2022 22:02",Dashboard,123
21,22,"May 03, 2022 22:02",Login,123
22,23,"May 03, 2022 22:02",Records,123
23,24,"May 03, 2022 22:03",Dashboard,123
24,25,"May 03, 2022 22:03",Login,123
25,26,"May 03, 2022 22:03",Logs - Detection,123
26,27,"May 03, 2022 22:03",Dashboard,123
27,28,"May 03, 2022 22:03",Records,123
28,29,"May 03, 2022 22:04",Dashboard,123
29,30,"May 03, 2022 22:04",Login,123
30,31,"May 03, 2022 22:04",Records,123
31,32,"May 03, 2022 22:05",Dashboard,123
32,33,"May 03, 2022 22:05",Login,123
33,34,"May 03, 2022 22:05",Records,123
34,35,"May 03, 2022 22:05",Dashboard,123
35,36,"May 03, 2022 22:05",Login,123
36,37,"May 03, 2022 22:05",Records,123
37,38,"May 03, 2022 22:06",Dashboard,123
38,39,"May 03, 2022 22:06",Login,123
39,40,"May 03, 2022 22:06",Records,123
40,41,"May 03, 2022 22:07",Dashboard,123
41,42,"May 03, 2022 22:07",Login,123
42,43,"May 03, 2022 22:07",Records,123
43,44,"May 03, 2022 22:08",Dashboard,123
44,45,"May 03, 2022 22:08",Login,123
45,46,"May 03, 2022 22:08",Records,123
46,47,"May 03, 2022 22:08",Dashboard,123
47,48,"May 03, 2022 22:08",Login,123
48,49,"May 03, 2022 22:08",Records,123
49,50,"May 03, 2022 22:10",Dashboard,123
50,51,"May 03, 2022 22:10",Login,123
51,52,"May 03, 2022 22:10",Records,123
52,53,"May 03, 2022 22:11",Dashboard,123
53,54,"May 03, 2022 22:11",Login,123
54,55,"May 03, 2022 22:11",Records,123
55,56,"May 03, 2022 22:12",Dashboard,123
56,57,"May 03, 2022 22:12",Login,123
57,58,"May 03, 2022 22:12",Records,123
58,59,"May 03, 2022 22:13",Dashboard,123
59,60,"May 03, 2022 22:13",Login,123
60,61,"May 03, 2022 22:13",Records,123
61,62,"May 03, 2022 22:13",Dashboard,123
62,63,"May 03, 2022 22:13",Login,123
63,64,"May 03, 2022 22:13",Records,123
64,65,"May 03, 2022 22:15",Dashboard,123
65,66,"May 03, 2022 22:15",Login,123
66,67,"May 03, 2022 22:15",Records,123
67,68,"May 03, 2022 22:16",Dashboard,123
68,69,"May 03, 2022 22:16",Login,123
69,70,"May 03, 2022 22:16",Records,123
70,71,"May 03, 2022 23:14",Dashboard,123
71,72,"May 03, 2022 23:14",Login,123
72,73,"May 03, 2022 23:14",Records,123
73,74,"May 03, 2022 23:16",Dashboard,123
74,75,"May 03, 2022 23:16",Login,123
75,76,"May 03, 2022 23:16",Records,123
76,77,"May 03, 2022 23:18",Dashboard,123
77,78,"May 03, 2022 23:18",Login,123
78,79,"May 03, 2022 23:18",Records,123
79,80,"May 03, 2022 23:26",Dashboard,123
80,81,"May 03, 2022 23:26",Login,123
81,82,"May 03, 2022 23:26",Records,123
82,83,"May 03, 2022 23:28",Dashboard,123
83,84,"May 03, 2022 23:28",Login,123
84,85,"May 03, 2022 23:28",Records,123
85,86,"May 03, 2022 23:31",Dashboard,123
86,87,"May 03, 2022 23:31",Login,123
87,88,"May 03, 2022 23:31",Records,123
88,89,"May 03, 2022 23:34",Dashboard,123
89,90,"May 03, 2022 23:34",Login,123
90,91,"May 03, 2022 23:34",Register Face,123
91,92,"May 03, 2022 23:34",Records,123
92,93,"May 03, 2022 23:35",Dashboard,123
93,94,"May 03, 2022 23:35",Login,123
94,95,"May 03, 2022 23:35",Register Face,123
95,96,"May 03, 2022 23:35",Records,123
96,97,"May 03, 2022 23:38",Dashboard,123
97,98,"May 03, 2022 23:38",Login,123
98,99,"May 03, 2022 23:38",Records,123
99,100,"May 03, 2022 23:41",Dashboard,123
100,101,"May 03, 2022 23:41",Login,123
101,102,"May 03, 2022 23:41",Records,123
